Wall time,Step,Value
1714967498.5441234,16000,669.4692993164062
1714967529.5033078,32000,1370.52783203125
1714967560.5210652,48000,1341.4306640625
1714967591.214972,64000,1174.2509765625
1714967620.6001506,80000,547.9343872070312
1714967649.950461,96000,354.53045654296875
1714967679.3390298,112000,324.9283447265625
1714967708.662217,128000,317.29473876953125
1714967737.8803623,144000,438.94866943359375
1714967767.1009507,160000,322.62054443359375
1714967796.4216723,176000,369.1330261230469
1714967825.7008872,192000,347.9715881347656
1714967854.9260173,208000,313.700927734375
1714967884.3534255,224000,286.76513671875
1714967913.6513546,240000,223.90675354003906
1714967942.8951352,256000,227.63328552246094
1714967972.0490618,272000,198.6079864501953
1714968001.1947532,288000,180.7974395751953
1714968030.4481094,304000,163.30018615722656
1714968059.6248462,320000,149.7538299560547
1714968088.9398758,336000,139.59498596191406
1714968118.2476876,352000,148.6534881591797
1714968147.5031364,368000,108.85157012939453
1714968176.6903353,384000,109.72073364257812
1714968205.8938746,400000,104.49468994140625
1714968235.1862311,416000,77.24163818359375
1714968264.493504,432000,81.01808166503906
1714968293.7072394,448000,82.62864685058594
1714968323.0356023,464000,79.01799011230469
1714968352.4017887,480000,74.47663116455078
1714968381.725908,496000,64.7072982788086
