Wall time,Step,Value
1715233790.445589,4096,183830.46875
1715233791.6772609,6144,181105.546875
1715233792.906595,8192,143182.15625
1715233794.131997,10240,195898.890625
1715233795.3548453,12288,112944.1875
1715233796.5808313,14336,122947.2734375
1715233797.806783,16384,110926.8671875
1715233799.0317206,18432,98853.078125
1715233800.2534182,20480,85049.6171875
1715233801.4781473,22528,86404.5234375
1715233802.7036896,24576,67400.375
1715233803.9301019,26624,70278.046875
1715233805.1555943,28672,61927.99609375
1715233806.3807554,30720,68832.7578125
1715233807.6058006,32768,63114.79296875
1715233808.8321428,34816,56033.20703125
1715233810.0547502,36864,36789.48828125
1715233811.282385,38912,27267.787109375
1715233812.5119004,40960,31316.7734375
1715233813.7367759,43008,17903.09765625
1715233814.9659705,45056,32224.11328125
1715233816.1922634,47104,26125.12890625
1715233817.4186764,49152,17401.17578125
1715233818.646382,51200,28554.06640625
1715233819.8739095,53248,15318.9150390625
1715233821.1002047,55296,24679.7890625
1715233822.3273144,57344,12779.6435546875
1715233823.5501707,59392,17419.072265625
1715233824.7755935,61440,17231.8671875
1715233826.003468,63488,17010.48828125
1715233827.2299209,65536,15861.76171875
1715233828.4559157,67584,45997.58203125
1715233829.6804757,69632,10713.90234375
1715233830.906459,71680,14724.4560546875
1715233832.1327722,73728,267.4068603515625
1715233833.3593721,75776,2818.3916015625
1715233834.5868645,77824,8.052131652832031
1715233835.813768,79872,20732.748046875
1715233837.0406055,81920,16301.482421875
1715233838.265362,83968,30643734528.0
1715233839.4900842,86016,17701.7109375
1715233840.718406,88064,23726.369140625
1715233841.945741,90112,18268.89453125
1715233843.1723447,92160,12055.62890625
1715233844.3971522,94208,15028.849609375
1715233845.624901,96256,14855.369140625
1715233846.8497088,98304,8625.5703125
1715233848.0777318,100352,11987.03125
1715233849.303042,102400,15327.86328125
1715233850.5289764,104448,32301.49609375
1715233851.7527976,106496,9021.9267578125
1715233852.9804666,108544,90.74128723144531
1715233854.2036297,110592,8903.2509765625
1715233855.428567,112640,20.054584503173828
1715233856.6559966,114688,29.749271392822266
1715233857.880716,116736,1.7469335794448853
1715233859.1063435,118784,252.1851806640625
1715233860.3329334,120832,18209.744140625
1715233861.561914,122880,20931.70703125
1715233862.790156,124928,5262.43798828125
1715233864.0166411,126976,5542.958984375
1715233865.2438824,129024,4072.42041015625
1715233866.4693167,131072,4490.81103515625
1715233867.694148,133120,3898.577392578125
1715233868.9219317,135168,3491.094970703125
1715233870.14805,137216,2453.644287109375
1715233871.3742483,139264,4648.3681640625
1715233872.599844,141312,3841.95458984375
1715233873.825925,143360,3135.15185546875
1715233875.0518248,145408,2182.919921875
1715233876.278219,147456,5547.75830078125
1715233877.5052617,149504,3425.139404296875
1715233878.7328749,151552,1848.5184326171875
1715233879.9588623,153600,2396.712158203125
1715233881.188281,155648,3949.87158203125
1715233882.416044,157696,2588.481201171875
1715233883.6409607,159744,3979.148681640625
1715233884.8692515,161792,1610.4063720703125
1715233886.0986848,163840,2282.461181640625
1715233887.325834,165888,2026.903564453125
1715233888.5506918,167936,2524.4853515625
1715233889.7766738,169984,3637.61962890625
1715233891.0038817,172032,16454.478515625
1715233892.2314496,174080,4817.26904296875
1715233893.4576619,176128,7408.9951171875
1715233894.682819,178176,747.2207641601562
1715233895.9092073,180224,106.01510620117188
1715233897.1366014,182272,423.630859375
1715233898.3653617,184320,112.08745574951172
1715233899.5867257,186368,94.68392944335938
1715233900.805544,188416,24.63602066040039
1715233902.021359,190464,152.8253173828125
1715233903.2401583,192512,6.9040751457214355
1715233904.4592192,194560,803.8109130859375
1715233905.6767573,196608,6.977386951446533
1715233906.8931425,198656,1219.8238525390625
1715233908.110064,200704,19.948455810546875
1715233909.3251867,202752,20.84011459350586
1715233910.540873,204800,3.444319009780884
1715233911.757744,206848,341.36016845703125
1715233912.9748993,208896,3.6965508460998535
1715233914.1921399,210944,751.0735473632812
1715233915.4071054,212992,2.3579816818237305
1715233916.624522,215040,162.6724853515625
1715233917.8415532,217088,4.322383403778076
1715233919.060052,219136,1258.4769287109375
1715233920.2784472,221184,6.275478839874268
1715233921.4939642,223232,13880.6640625
1715233922.7115877,225280,16.970108032226562
1715233923.9267266,227328,325.35711669921875
1715233925.143058,229376,41.88218688964844
1715233926.3605056,231424,1.5567150115966797
1715233927.577056,233472,9.17579174041748
1715233928.7961245,235520,9.563618659973145
1715233930.013791,237568,0.2475757747888565
1715233931.2312753,239616,605.981689453125
1715233932.446282,241664,490.5328674316406
1715233933.6627953,243712,143.4179229736328
1715233934.8813374,245760,0.4162648916244507
1715233936.098593,247808,105.73516082763672
1715233937.3153098,249856,1.0443369150161743
1715233938.533054,251904,478.38812255859375
1715233939.7499366,253952,0.25442051887512207
1715233940.9670024,256000,38.34456253051758
1715233942.1859715,258048,1.2003051042556763
1715233943.4048545,260096,374.4970397949219
1715233944.6220858,262144,1.0524015426635742
1715233945.838233,264192,0.35669878125190735
1715233947.0578332,266240,346.830078125
1715233948.2757096,268288,31.822574615478516
1715233949.4937003,270336,246.68565368652344
1715233950.7108347,272384,2.1119658946990967
1715233951.9278572,274432,6.624488353729248
1715233953.1448636,276480,0.4981628358364105
1715233954.3632514,278528,193.50997924804688
1715233955.5808551,280576,0.07373771071434021
1715233956.800367,282624,1688.0648193359375
1715233958.018275,284672,0.09777230024337769
1715233959.2314906,286720,4151.1796875
1715233960.4472768,288768,0.04703191667795181
1715233961.6656368,290816,128.0419464111328
1715233962.8857327,292864,14.645281791687012
1715233964.1034365,294912,1789.93896484375
1715233965.3222022,296960,1.6765828132629395
1715233966.541826,299008,93.04669952392578
1715233967.7612658,301056,0.09143439680337906
1715233968.980483,303104,108.09294128417969
1715233970.1958272,305152,0.1539454460144043
1715233971.4103844,307200,176.24102783203125
1715233972.6270201,309248,0.2121233195066452
1715233973.8466365,311296,170.8549041748047
1715233975.0647151,313344,0.4833993911743164
1715233976.281722,315392,1913.27099609375
1715233977.500924,317440,0.14675341546535492
1715233978.7193375,319488,22.414100646972656
1715233979.937415,321536,0.06184941157698631
1715233981.1570916,323584,13735.1611328125
1715233982.3775592,325632,0.13666445016860962
1715233983.6014335,327680,43.46134567260742
1715233984.821036,329728,0.10439823567867279
1715233986.0392573,331776,17358.443359375
1715233987.259846,333824,0.25365427136421204
1715233988.4782948,335872,135.17236328125
1715233989.6957765,337920,0.19502712786197662
1715233990.916557,339968,185.0948486328125
1715233992.1342306,342016,0.14569875597953796
1715233993.3483922,344064,50.46682357788086
1715233994.5679357,346112,0.21987806260585785
1715233995.7868774,348160,550.1307983398438
1715233997.0083687,350208,109.9145278930664
1715233998.2289636,352256,5.482126712799072
1715233999.4469373,354304,284.4002685546875
1715234000.665757,356352,0.14083446562290192
1715234001.8803415,358400,0.07495365291833878
1715234003.1002834,360448,0.1250286102294922
1715234004.3201861,362496,536.3439331054688
1715234005.5358927,364544,0.466632604598999
1715234006.7553275,366592,103.69979858398438
1715234007.9720562,368640,0.09891079366207123
1715234009.1910398,370688,86.23741149902344
1715234010.411821,372736,0.020161554217338562
1715234011.6323318,374784,72.89970397949219
1715234012.8538437,376832,0.07042388617992401
1715234014.0695803,378880,73.77196502685547
1715234015.2882547,380928,0.13015438616275787
1715234016.5067632,382976,277.14501953125
1715234017.7264953,385024,0.0810542032122612
1715234018.9481997,387072,42.283363342285156
1715234020.1703255,389120,0.05053923279047012
1715234021.3903272,391168,81.71380615234375
1715234022.6083467,393216,0.1303686797618866
1715234023.8250191,395264,21.759965896606445
1715234025.042791,397312,0.16475555300712585
1715234026.261302,399360,47.897953033447266
1715234027.4809835,401408,0.14813244342803955
1715234028.700396,403456,165.56759643554688
1715234029.921673,405504,0.05824768543243408
1715234031.1389518,407552,58.7929801940918
1715234032.3567286,409600,0.08313246071338654
1715234033.575803,411648,170.44003295898438
1715234034.7952373,413696,0.07423783093690872
1715234036.0134122,415744,28.501901626586914
1715234037.234454,417792,0.14394500851631165
1715234038.4538906,419840,392.8741455078125
1715234039.6706266,421888,0.09149794280529022
1715234040.8864837,423936,2726.04345703125
1715234042.1058307,425984,0.10062053054571152
1715234043.324181,428032,1361.83447265625
1715234044.5414357,430080,0.08386517316102982
1715234045.7595093,432128,143.954833984375
1715234046.9773908,434176,0.8955380916595459
1715234048.1961718,436224,3.1186256408691406
1715234049.4154813,438272,733.3831176757812
1715234050.6336198,440320,3.809952974319458
1715234051.8529804,442368,11.184146881103516
1715234053.0703588,444416,0.10186803340911865
1715234054.2945113,446464,2.8610212802886963
1715234055.5251217,448512,0.04715142026543617
1715234056.7538583,450560,30.178447723388672
1715234057.9813755,452608,0.06874801218509674
1715234059.210641,454656,455.3461608886719
1715234060.4375937,456704,0.0926063060760498
1715234061.6657834,458752,522.0467529296875
1715234062.8944004,460800,0.05231400951743126
1715234064.122925,462848,31.919174194335938
1715234065.3516874,464896,0.09044542908668518
1715234066.5802143,466944,326.9942626953125
1715234067.8074396,468992,0.2491554468870163
1715234069.0363336,471040,8.142300605773926
1715234070.2684078,473088,0.07028530538082123
1715234071.4940934,475136,1408.470947265625
1715234072.720984,477184,0.05175267159938812
1715234073.9485962,479232,21.075748443603516
1715234075.1758237,481280,0.06390643864870071
1715234076.4044702,483328,215.79635620117188
1715234077.6310246,485376,0.2053712010383606
1715234078.8594282,487424,168.0380859375
1715234080.0875897,489472,0.14137068390846252
1715234081.317304,491520,161.17332458496094
1715234082.544891,493568,0.07753407955169678
1715234083.7751284,495616,101.3158950805664
1715234085.0042422,497664,0.09350542724132538
1715234086.2318103,499712,156.7007598876953
1715234087.458849,501760,0.12565219402313232
