Wall time,Step,Value
1715239265.7004297,500,11600.4501953125
1715239266.0566907,1000,16240.9560546875
1715239266.4122672,1500,12835.2314453125
1715239266.7681859,2000,30790.130859375
1715239267.1245081,2500,8094.96044921875
1715239267.4804146,3000,45266.06640625
1715239267.8373966,3500,15265.046875
1715239268.194514,4000,18833.86328125
1715239268.5505397,4500,18980.669921875
1715239268.9074016,5000,17143.349609375
1715239269.2643986,5500,28652.826171875
1715239269.6199577,6000,21665.146484375
1715239269.97599,6500,25081.759765625
1715239270.3324294,7000,4487.26904296875
1715239270.6884964,7500,24738.236328125
1715239271.0447748,8000,15196.7783203125
1715239271.3993452,8500,29883.587890625
1715239271.75478,9000,28593.068359375
1715239272.1107013,9500,23728.126953125
1715239272.4665902,10000,22592.919921875
1715239272.8223276,10500,19614.4609375
1715239273.177148,11000,17476.90234375
1715239273.5330937,11500,21457.74609375
1715239273.888797,12000,25467.029296875
1715239274.243907,12500,20643.662109375
1715239274.6004627,13000,18908.359375
1715239274.956277,13500,25286.275390625
1715239275.3110445,14000,18856.796875
1715239275.665979,14500,26762.01953125
1715239276.0218089,15000,23842.041015625
1715239276.377277,15500,11069.9091796875
1715239276.7328012,16000,9997.0517578125
1715239277.0883238,16500,1427.301025390625
1715239277.4433281,17000,139.94964599609375
1715239277.7986948,17500,34.12075424194336
1715239278.1542788,18000,16343.6904296875
1715239278.5101993,18500,2124.249755859375
1715239278.8658438,19000,39.682613372802734
1715239279.2211196,19500,17.493253707885742
1715239279.5765278,20000,87.96228790283203
1715239279.9329078,20500,14064.9580078125
1715239280.287272,21000,16706.396484375
1715239280.6428022,21500,21427.33984375
1715239280.9978101,22000,19926.09765625
1715239281.3538804,22500,19785.115234375
1715239281.709877,23000,27894.615234375
1715239282.0650008,23500,24696.826171875
1715239282.4214065,24000,17962.66015625
1715239282.7768738,24500,16715.931640625
1715239283.131509,25000,14123.34375
1715239283.4875517,25500,313.25775146484375
1715239283.8432887,26000,78.4360122680664
1715239284.1974442,26500,106.0068359375
1715239284.553403,27000,3.14941668510437
1715239284.9087079,27500,13.868135452270508
1715239285.2643285,28000,3.9952614307403564
1715239285.6203501,28500,13.93059253692627
1715239285.9764254,29000,33.50956726074219
1715239286.3314238,29500,49.130672454833984
1715239286.6873925,30000,12.005682945251465
1715239287.0429401,30500,12.09510326385498
1715239287.3983839,31000,15.182608604431152
1715239287.7541223,31500,55.23347091674805
1715239288.1096475,32000,27.847360610961914
1715239288.4650214,32500,23131.404296875
1715239288.819869,33000,13545.1591796875
1715239289.176319,33500,20753.83203125
1715239289.5323644,34000,18865.0546875
1715239289.887629,34500,22754.005859375
1715239290.2438872,35000,19584.638671875
1715239290.5993633,35500,17421.046875
1715239290.955072,36000,20864.73046875
1715239291.3115304,36500,15351.0673828125
1715239291.6677961,37000,23147.314453125
1715239292.024179,37500,19071.458984375
1715239292.3797796,38000,15590.306640625
1715239292.735476,38500,14690.421875
1715239293.091032,39000,14665.5146484375
1715239293.4468563,39500,21066.373046875
1715239293.8024998,40000,17618.599609375
1715239294.1583805,40500,16713.6015625
1715239294.514439,41000,18393.380859375
1715239294.8709095,41500,20293.853515625
1715239295.226835,42000,14136.796875
1715239295.5820737,42500,18309.087890625
1715239295.9386609,43000,8680.4970703125
1715239296.2942126,43500,13653.2861328125
1715239296.650002,44000,12734.6162109375
1715239297.0056822,44500,9531.0927734375
1715239297.3606064,45000,3505.05078125
1715239297.7163565,45500,14342.9755859375
1715239298.0724308,46000,18313.646484375
1715239298.4277828,46500,12114.611328125
1715239298.7835932,47000,13670.962890625
